id,displayName,sourcePath,priority,state,acknowledged,timestamp,acknowledgedBy,alarmClass
ALM-001,High Zone Temperature,station:|slot:/HVAC/AHU-1/ZoneTempAlarm,CRITICAL,ACTIVE,false,2026-09-05T08:15:00,,LifeSafety
ALM-002,Chiller Fault,station:|slot:/HVAC/Chiller-1/FaultAlarm,HIGH,OFFNORMAL,false,2026-09-05T09:30:00,,Mechanical
ALM-003,Low Differential Pressure,station:|slot:/HVAC/AHU-2/DiffPressAlarm,MEDIUM,NORMAL,true,2026-09-04T14:00:00,operator1,Mechanical
ALM-004,Panel Door Open,station:|slot:/Electrical/Panel-A/DoorAlarm,LOW,NORMAL,true,2026-09-03T11:45:00,operator2,Electrical
ALM-005,Fire Detector Triggered,station:|slot:/Fire/Zone-2/SmokeDetectorAlarm,CRITICAL,ACTIVE,false,2026-09-05T10:05:00,,LifeSafety
ALM-006,High Supply Air Temperature,station:|slot:/HVAC/AHU-3/SupplyAirTempAlarm,HIGH,ACTIVE,false,2026-09-05T11:00:00,,Mechanical
ALM-007,Boiler High Pressure,station:|slot:/HVAC/Boiler-1/HighPressAlarm,CRITICAL,ACTIVE,false,2026-09-05T07:45:00,,LifeSafety
ALM-008,Low Chilled Water Flow,station:|slot:/HVAC/CHW/FlowAlarm,HIGH,OFFNORMAL,false,2026-09-05T06:30:00,,Mechanical
ALM-009,UPS Battery Low,station:|slot:/Electrical/UPS-1/BatteryAlarm,HIGH,ACTIVE,false,2026-09-05T09:00:00,,Electrical
ALM-010,Generator Fail to Start,station:|slot:/Electrical/Generator-1/StartFailAlarm,CRITICAL,OFFNORMAL,true,2026-09-04T23:15:00,operator1,Electrical
ALM-011,High CO2 Level Zone 3,station:|slot:/IAQ/Zone-3/CO2Alarm,MEDIUM,ACTIVE,false,2026-09-05T10:30:00,,LifeSafety
ALM-012,Water Leak Detected B2,station:|slot:/Plumbing/B2/LeakAlarm,CRITICAL,ACTIVE,false,2026-09-05T11:20:00,,LifeSafety
ALM-013,Cooling Tower Fan Fault,station:|slot:/HVAC/CT-1/FanFaultAlarm,MEDIUM,NORMAL,true,2026-09-04T16:00:00,operator2,Mechanical
ALM-014,Emergency Light Fault Zone 1,station:|slot:/Lighting/Zone-1/EmergencyLightAlarm,MEDIUM,OFFNORMAL,false,2026-09-05T08:50:00,,Electrical
ALM-015,AHU-4 Belt Broken,station:|slot:/HVAC/AHU-4/BeltAlarm,HIGH,ACTIVE,false,2026-09-05T10:55:00,,Mechanical
ALM-016,Low Domestic Hot Water Temp,station:|slot:/Plumbing/DHW/TempAlarm,MEDIUM,ACTIVE,false,2026-09-05T07:00:00,,Mechanical
ALM-017,Sprinkler System Activated Floor 3,station:|slot:/Fire/Floor-3/SprinklerAlarm,CRITICAL,ACTIVE,false,2026-09-05T11:45:00,,LifeSafety
ALM-018,Access Control Breach Server Room,station:|slot:/Security/ServerRoom/AccessAlarm,HIGH,NORMAL,true,2026-09-04T22:30:00,operator1,Security
ALM-019,Condenser Pump Overload,station:|slot:/HVAC/CW/PumpOverloadAlarm,HIGH,OFFNORMAL,false,2026-09-05T09:10:00,,Mechanical
ALM-020,High Humidity Level Zone 5,station:|slot:/IAQ/Zone-5/HumidityAlarm,LOW,NORMAL,true,2026-09-03T13:00:00,operator2,Mechanical
