id,displayName,sourcePath,value,unit,timestamp,interval,quality
HST-001,AHU-1 Zone Temperature,station:|slot:/HVAC/AHU-1/ZoneTemp,23.6,°C,2026-09-05T11:25:00,300,OK
HST-002,AHU-1 Zone Temperature,station:|slot:/HVAC/AHU-1/ZoneTemp,24.5,°C,2026-09-05T11:30:00,300,OK
HST-003,AHU-1 Zone Temperature,station:|slot:/HVAC/AHU-1/ZoneTemp,25.3,°C,2026-09-05T11:35:00,300,OK
HST-004,AHU-1 Zone Temperature,station:|slot:/HVAC/AHU-1/ZoneTemp,26.4,°C,2026-09-05T11:40:00,300,OK
HST-005,AHU-1 Zone Temperature,station:|slot:/HVAC/AHU-1/ZoneTemp,27.2,°C,2026-09-05T11:45:00,300,OK
HST-006,AHU-1 Zone Temperature,station:|slot:/HVAC/AHU-1/ZoneTemp,28.1,°C,2026-09-05T11:50:00,300,OK
HST-007,AHU-1 Zone Temperature,station:|slot:/HVAC/AHU-1/ZoneTemp,28.9,°C,2026-09-05T11:55:00,300,OK
HST-008,AHU-1 Zone Temperature,station:|slot:/HVAC/AHU-1/ZoneTemp,29.4,°C,2026-09-05T12:00:00,300,OK
HST-009,AHU-3 Zone Temperature,station:|slot:/HVAC/AHU-3/ZoneTemp,24.8,°C,2026-09-05T11:25:00,300,OK
HST-010,AHU-3 Zone Temperature,station:|slot:/HVAC/AHU-3/ZoneTemp,26.1,°C,2026-09-05T11:30:00,300,OK
HST-011,AHU-3 Zone Temperature,station:|slot:/HVAC/AHU-3/ZoneTemp,27.4,°C,2026-09-05T11:35:00,300,OK
HST-012,AHU-3 Zone Temperature,station:|slot:/HVAC/AHU-3/ZoneTemp,28.6,°C,2026-09-05T11:40:00,300,OK
HST-013,AHU-3 Zone Temperature,station:|slot:/HVAC/AHU-3/ZoneTemp,29.5,°C,2026-09-05T11:45:00,300,OK
HST-014,AHU-3 Zone Temperature,station:|slot:/HVAC/AHU-3/ZoneTemp,30.2,°C,2026-09-05T11:50:00,300,OK
HST-015,AHU-3 Zone Temperature,station:|slot:/HVAC/AHU-3/ZoneTemp,30.8,°C,2026-09-05T11:55:00,300,OK
HST-016,AHU-3 Zone Temperature,station:|slot:/HVAC/AHU-3/ZoneTemp,31.2,°C,2026-09-05T12:00:00,300,OK
HST-017,AHU-4 Fan Speed,station:|slot:/HVAC/AHU-4/FanSpeed,71.5,%,2026-09-05T10:30:00,300,OK
HST-018,AHU-4 Fan Speed,station:|slot:/HVAC/AHU-4/FanSpeed,70.2,%,2026-09-05T10:35:00,300,OK
HST-019,AHU-4 Fan Speed,station:|slot:/HVAC/AHU-4/FanSpeed,68.8,%,2026-09-05T10:40:00,300,OK
HST-020,AHU-4 Fan Speed,station:|slot:/HVAC/AHU-4/FanSpeed,52.3,%,2026-09-05T10:45:00,300,OK
HST-021,AHU-4 Fan Speed,station:|slot:/HVAC/AHU-4/FanSpeed,24.1,%,2026-09-05T10:50:00,300,OK
HST-022,AHU-4 Fan Speed,station:|slot:/HVAC/AHU-4/FanSpeed,0.0,%,2026-09-05T10:55:00,300,OK
