id,displayName,path,value,unit,type,writable,status
PNT-001,AHU-1 Zone Temperature,station:|slot:/HVAC/AHU-1/ZoneTemp,29.4,°C,NUMERIC,false,OK
PNT-002,AHU-1 Zone Temp Setpoint,station:|slot:/HVAC/AHU-1/ZoneTempSP,24.0,°C,NUMERIC,true,OK
PNT-003,AHU-1 Fan Status,station:|slot:/HVAC/AHU-1/FanStatus,true,,BOOLEAN,false,OK
PNT-004,AHU-1 Fan Speed,station:|slot:/HVAC/AHU-1/FanSpeed,87.0,%,NUMERIC,true,OK
PNT-005,AHU-1 Supply Air Temperature,station:|slot:/HVAC/AHU-1/SupplyAirTemp,13.8,°C,NUMERIC,false,OK
PNT-006,AHU-1 Cooling Valve Position,station:|slot:/HVAC/AHU-1/CoolingValve,98.0,%,NUMERIC,true,OK
PNT-007,AHU-1 Heating Valve Position,station:|slot:/HVAC/AHU-1/HeatingValve,0.0,%,NUMERIC,true,OK
PNT-008,AHU-1 Damper Position,station:|slot:/HVAC/AHU-1/DamperPosition,100.0,%,NUMERIC,true,OK
PNT-009,AHU-2 Zone Temperature,station:|slot:/HVAC/AHU-2/ZoneTemp,22.1,°C,NUMERIC,false,OK
PNT-010,AHU-2 Zone Temp Setpoint,station:|slot:/HVAC/AHU-2/ZoneTempSP,22.0,°C,NUMERIC,true,OK
PNT-011,AHU-2 Fan Status,station:|slot:/HVAC/AHU-2/FanStatus,true,,BOOLEAN,false,OK
PNT-012,AHU-2 Fan Speed,station:|slot:/HVAC/AHU-2/FanSpeed,61.0,%,NUMERIC,true,OK
PNT-013,AHU-2 Supply Air Temperature,station:|slot:/HVAC/AHU-2/SupplyAirTemp,14.3,°C,NUMERIC,false,OK
PNT-014,AHU-2 Cooling Valve Position,station:|slot:/HVAC/AHU-2/CoolingValve,60.0,%,NUMERIC,true,OVERRIDDEN
PNT-015,AHU-2 Damper Position,station:|slot:/HVAC/AHU-2/DamperPosition,75.0,%,NUMERIC,true,OK
PNT-016,AHU-2 Differential Pressure,station:|slot:/HVAC/AHU-2/DiffPressure,48.5,Pa,NUMERIC,false,OK
PNT-017,AHU-3 Zone Temperature,station:|slot:/HVAC/AHU-3/ZoneTemp,31.2,°C,NUMERIC,false,OK
PNT-018,AHU-3 Zone Temp Setpoint,station:|slot:/HVAC/AHU-3/ZoneTempSP,24.0,°C,NUMERIC,true,OK
